id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
official-trump,8.9,1779709117,3.65014,8.95,8.54,73.43,4.29,03-07-2025 00-49-17
arbitrum,0.35278,1751170007,8.70159,0.355202,0.324253,2.39,0.245747,03-07-2025 00-49-17
sky,0.081825,1742787358,4.59981,0.081875,0.076508,0.100535,0.03582727,03-07-2025 00-49-17
lombard-staked-btc,109554.0,1718340966,3.88858,110703.0,103920.0,114576.0,52119.0,03-07-2025 00-49-17
render-token,3.3,1708401233,8.40305,3.31,3.04,13.53,0.03665669,03-07-2025 00-49-17
polygon-ecosystem-token,0.189193,1701973770,6.50672,0.189188,0.175805,1.29,0.153392,03-07-2025 00-49-17
ethena,0.275538,1676249093,8.65893,0.277789,0.250678,1.52,0.195078,03-07-2025 00-49-17
filecoin,2.4,1633351701,8.75209,2.43,2.18,236.84,1.98,03-07-2025 00-49-17
worldcoin-wld,0.94801,1613259486,11.11244,0.956546,0.847211,11.74,0.583741,03-07-2025 00-49-17
quant-network,108.83,1582510881,5.03016,110.26,102.83,427.42,0.215773,03-07-2025 00-49-17
sei-network,0.284749,1581452951,2.71904,0.287524,0.264988,1.14,0.095364,03-07-2025 00-49-17
algorand,0.182202,1573664178,5.43805,0.182952,0.170226,3.56,0.087513,03-07-2025 00-49-17
binance-peg-weth,2576.15,1558489665,6.52606,2584.3,2388.46,4098.26,1394.32,03-07-2025 00-49-17
jupiter-perpetuals-liquidity-provider-token,4.51,1538590841,2.24727,4.53,4.4,5.03,0.146839,03-07-2025 00-49-17
first-digital-usd,0.999134,1464961757,0.25443,1.004,0.994742,1.15,0.940377,03-07-2025 00-49-17
usdtb,0.999836,1461791934,-0.01224,1.0,0.999654,1.018,0.986986,03-07-2025 00-49-17
kucoin-shares,11.12,1416974601,0.54811,11.15,11.01,28.83,0.342863,03-07-2025 00-49-17
binance-staked-sol,161.35,1395881767,3.78753,162.6,154.15,297.96,100.21,03-07-2025 00-49-17
jupiter-exchange-solana,0.448996,1351313413,4.30766,0.455342,0.422533,2.0,0.306358,03-07-2025 00-49-17
usdt0,1.001,1278711622,0.07339,1.002,0.998234,1.052,0.975737,03-07-2025 00-49-17
nexo,1.23,1224808506,1.96155,1.23,1.19,4.07,0.04515276,03-07-2025 00-49-17
rocket-pool-eth,2935.47,1211533396,6.52597,2943.1,2725.86,4814.31,887.26,03-07-2025 00-49-17
spx6900,1.29,1195904025,15.31461,1.32,1.077,1.73,0.00131808,03-07-2025 00-49-17
kelp-dao-restaked-eth,2700.91,1173385994,6.64137,2705.84,2505.96,4216.2,1459.69,03-07-2025 00-49-17
flare-networks,0.01722484,1165106903,0.85462,0.01723938,0.01671448,0.150073,0.00827405,03-07-2025 00-49-17
bonk,1.495e-05,1156708253,9.90102,1.52e-05,1.358e-05,5.825e-05,8.6142e-08,03-07-2025 00-49-17
fartcoin,1.12,1114622777,6.10396,1.12,1.011,2.48,0.02002855,03-07-2025 00-49-17
injective-protocol,11.3,1103979327,9.40913,11.3,10.13,52.62,0.657401,03-07-2025 00-49-17
virtual-protocol,1.63,1065062444,13.37313,1.64,1.42,5.07,0.00748604,03-07-2025 00-49-17
blockstack,0.692279,1061002374,8.65756,0.693847,0.631489,3.86,0.04559639,03-07-2025 00-49-17
sonic-3,0.329084,1060856423,9.5306,0.33103,0.294621,1.029,0.250194,03-07-2025 00-49-17
polygon-bridged-usdt-polygon,1.0,1057487422,0.00957,1.0,0.999929,1.027,0.945933,03-07-2025 00-49-17
celestia,1.5,1037693958,10.32474,1.51,1.34,20.85,1.32,03-07-2025 00-49-17
binance-bridged-usdc-bnb-smart-chain,0.999761,999098491,-0.01994,1.002,0.996625,1.031,0.942892,03-07-2025 00-49-17
optimism,0.568338,995952706,6.19749,0.570588,0.525535,4.84,0.402159,03-07-2025 00-49-17
mantle-staked-ether,2745.68,974770794,6.3006,2753.34,2556.44,4729.53,1485.62,03-07-2025 00-49-17
pudgy-penguins,0.01529609,961537485,4.67443,0.0163797,0.01420427,0.068447,0.00371517,03-07-2025 00-49-17
stakewise-v3-oseth,2705.43,958783435,6.55668,2712.48,2511.49,4228.59,1459.73,03-07-2025 00-49-17
xdce-crowd-sale,0.05866,952312858,0.67047,0.059563,0.058171,0.192754,0.00039532,03-07-2025 00-49-17
kaia,0.161463,946024338,1.87018,0.163259,0.153619,0.406698,0.090737,03-07-2025 00-49-17
pax-gold,3355.32,937434348,0.27592,3355.5,3336.37,3518.57,1399.64,03-07-2025 00-49-17
solv-btc,109182.0,923578040,3.05131,109391.0,105251.0,111685.0,49058.0,03-07-2025 00-49-17
syrupusdc,1.11,919960155,0.00608,1.11,1.11,1.11,1.07,03-07-2025 00-49-17
arbitrum-bridged-wbtc-arbitrum-one,109374.0,895406078,3.41356,109837.0,105345.0,111929.0,49594.0,03-07-2025 00-49-17
wbnb,663.9,887461589,2.87262,664.03,644.47,789.32,23.6,03-07-2025 00-49-17
dogwifcoin,0.881719,881602833,11.40925,0.891837,0.781413,4.83,0.00155464,03-07-2025 00-49-17
paypal-usd,0.999646,875615577,0.03367,0.999971,0.999282,1.021,0.959426,03-07-2025 00-49-17
the-graph,0.087647,866056924,10.04837,0.087736,0.079152,2.84,0.052051,03-07-2025 00-49-17
renzo-restaked-eth,2713.76,861730022,6.06172,2713.47,2514.96,4207.05,1454.43,03-07-2025 00-49-17
immutable-x,0.461535,860526467,9.49321,0.461696,0.421513,9.52,0.343711,03-07-2025 00-49-17
clbtc,111143.0,858377839,4.4276,111277.0,103608.0,114212.0,51493.0,03-07-2025 00-49-17
story-2,2.97,850050816,3.4429,3.0,2.79,7.31,1.0,03-07-2025 00-49-17
tether-gold,3348.9,826089890,0.38449,3350.96,3326.66,3530.16,1447.84,03-07-2025 00-49-17
vaulta,0.499229,786878005,5.07698,0.502147,0.473821,0.778734,0.455113,03-07-2025 00-49-17
jupiter-staked-sol,170.51,764403091,3.73546,171.89,162.53,309.67,105.7,03-07-2025 00-49-17
pancakeswap-token,2.37,760491099,5.86402,2.38,2.23,43.96,0.194441,03-07-2025 00-49-17
floki,7.851e-05,758011448,11.64856,7.882e-05,7.002e-05,0.00034495,8.428e-08,03-07-2025 00-49-17
msol,198.36,752259950,3.58929,200.17,189.58,363.77,8.93,03-07-2025 00-49-17
liquid-staked-ethereum,2784.49,744539638,6.50364,2790.56,2578.98,4332.67,1384.61,03-07-2025 00-49-17
jito-governance-token,2.14,735523272,2.08117,2.15,2.03,6.01,1.43,03-07-2025 00-49-17
curve-dao-token,0.529939,725324614,5.81766,0.533928,0.496615,15.37,0.180354,03-07-2025 00-49-17
theta-token,0.71841,717530619,10.25561,0.719502,0.648261,15.72,0.04039979,03-07-2025 00-49-17
ousg,111.64,708788672,0.01107,111.64,111.62,111.64,95.09,03-07-2025 00-49-17
lido-dao,0.770301,690812126,9.04568,0.773357,0.69495,7.3,0.40615,03-07-2025 00-49-17
aerodrome-finance,0.801003,675946767,5.32319,0.813769,0.742465,2.32,1.861e-05,03-07-2025 00-49-17
ronin-bridged-weth-ronin,2577.96,674581312,6.61765,2578.91,2392.17,4100.41,1395.01,03-07-2025 00-49-17
usdx-money-usdx,0.998527,672471360,0.03825,0.999109,0.997261,1.057,0.944423,03-07-2025 00-49-17
gala,0.01485955,670371215,10.98822,0.01489278,0.01331752,0.824837,0.00013475,03-07-2025 00-49-17
ethereum-name-service,19.4,643387038,7.36638,19.4,17.82,83.4,6.69,03-07-2025 00-49-17
iota,0.164832,637881677,8.92803,0.16524,0.149897,5.25,0.081637,03-07-2025 00-49-17
ondo-us-dollar-yield,1.094,636367524,0.95887,1.096,1.08,1.26,0.934184,03-07-2025 00-49-17
the-sandbox,0.256124,626441495,10.94611,0.257869,0.230551,8.4,0.02897764,03-07-2025 00-49-17
zcash,38.8,626223908,5.95022,38.89,36.5,3191.93,16.08,03-07-2025 00-49-17
jasmycoin,0.01265174,613185096,-0.53252,0.01290023,0.01189137,4.79,0.00275026,03-07-2025 00-49-17
wrapped-hype,39.05,612108065,3.81133,39.65,36.88,45.59,9.43,03-07-2025 00-49-17
bittorrent,6.12443e-07,603903571,2.93097,6.12736e-07,5.93518e-07,3.43e-06,3.65368e-07,03-07-2025 00-49-17
solv-protocol-solvbtc-bbn,108906.0,598794812,3.15097,109002.0,104997.0,117077.0,11402.13,03-07-2025 00-49-17
pyth-network,0.104098,598734925,6.26475,0.105752,0.097021,1.2,0.081442,03-07-2025 00-49-17
